,security_name,industry_sector,id_isin,crncy,3mo_put_imp_vol
GRG LN Equity,Greggs PLC,"Consumer, Non-cyclical",GB00B63QSB39,GBp,
VXUS US Equity,Vanguard Total International S,Funds,US9219097683,USD,15.470444441676706
6758 JT Equity,Sony Group Corp,"Consumer, Cyclical",JP3435000009,JPY,
AMGN US Equity,Amgen Inc,"Consumer, Non-cyclical",US0311621009,USD,23.299262136982126
UNA NA Equity,Unilever PLC,"Consumer, Non-cyclical",GB00B10RZP78,EUR,17.346081842656485
AMAT US Equity,Applied Materials Inc,Technology,US0382221051,USD,37.639550043819455
VTI US Equity,Vanguard Total Stock Market ET,Funds,US9229087690,USD,13.133200403359996
MBG GY Equity,Mercedes-Benz Group AG,"Consumer, Cyclical",DE0007100000,EUR,21.395553917323383
BHP US Equity,BHP Group Ltd,Basic Materials,US0886061086,USD,23.48267200886622
CSCO US Equity,Cisco Systems Inc,Communications,US17275R1023,USD,21.21790976667214
LLY US Equity,Eli Lilly & Co,"Consumer, Non-cyclical",US5324571083,USD,28.450534248770342
NOVOB DC Equity,Novo Nordisk A/S,"Consumer, Non-cyclical",DK0062498333,DKK,28.148563202367498
BP/ LN Equity,BP PLC,Energy,GB0007980591,GBp,20.906664565543007
GE US Equity,General Electric Co,Industrial,US3696043013,USD,31.402531014631798
TXN US Equity,Texas Instruments Inc,Technology,US8825081040,USD,26.422312739222697
SCHW US Equity,Charles Schwab Corp/The,Financial,US8085131055,USD,27.44112087283731
SAP GY Equity,SAP SE,Technology,DE0007164600,EUR,25.604295962174305
MS US Equity,Morgan Stanley,Financial,US6174464486,USD,21.559202026082485
LMT US Equity,Lockheed Martin Corp,Industrial,US5398301094,USD,16.811333926953882
WFC US Equity,Wells Fargo & Co,Financial,US9497461015,USD,22.89846424684233
NVDA US Equity,NVIDIA Corp,Technology,US67066G1040,USD,53.54704969685892
SHEL US Equity,Shell PLC,Energy,US7802593050,USD,16.409579630121186
MKS LN Equity,Marks & Spencer Group PLC,"Consumer, Non-cyclical",GB0031274896,GBp,23.572017570841403
PNC US Equity,PNC Financial Services Group I,Financial,US6934751057,USD,22.62988708321327
BMO US Equity,Bank of Montreal,Financial,CA0636711016,USD,19.779161624222333
JDW LN Equity,J D Wetherspoon PLC,"Consumer, Cyclical",GB0001638955,GBp,
SMCI US Equity,Super Micro Computer Inc,Technology,US86800U1043,USD,72.37547113230889
ADBE US Equity,Adobe Inc,Technology,US00724F1012,USD,29.98391390783145
ULVR LN Equity,Unilever PLC,"Consumer, Non-cyclical",GB00B10RZP78,GBp,16.089218885633898
CAT US Equity,Caterpillar Inc,Industrial,US1491231015,USD,27.416340133893733
ORI AU Equity,Orica Ltd,Industrial,AU000000ORI1,AUD,16.72263469891716
GLW US Equity,Corning Inc,Communications,US2193501051,USD,27.560263808473334
SIE GY Equity,Siemens AG,Industrial,DE0007236101,EUR,23.627941674457553
3382 JP Equity,Seven & i Holdings Co Ltd,"Consumer, Non-cyclical",JP3422950000,JPY,
VZ US Equity,Verizon Communications Inc,Communications,US92343V1044,USD,18.848172719940127
PG US Equity,Procter & Gamble Co/The,"Consumer, Non-cyclical",US7427181091,USD,15.413589076267748
IBM US Equity,International Business Machine,Technology,US4592001014,USD,23.74645419299037
UNH US Equity,UnitedHealth Group Inc,"Consumer, Non-cyclical",US91324P1021,USD,21.707092721851577
9432 JP Equity,Nippon Telegraph & Telephone C,Communications,JP3735400008,JPY,
JNJ US Equity,Johnson & Johnson,"Consumer, Non-cyclical",US4781601046,USD,16.05014456146529
DE US Equity,Deere & Co,Industrial,US2441991054,USD,24.92509138298914
NESN SW Equity,Nestle SA,"Consumer, Non-cyclical",CH0038863350,CHF,14.413212999984928
DTE GY Equity,Deutsche Telekom AG,Communications,DE0005557508,EUR,13.610051054872743
MA US Equity,Mastercard Inc,Financial,US57636Q1040,USD,19.20105846644986
VOO US Equity,Vanguard S&P 500 ETF,Funds,US9229083632,USD,12.924505645246665
TMO US Equity,Thermo Fisher Scientific Inc,"Consumer, Non-cyclical",US8835561023,USD,23.562175817922576
META US Equity,Meta Platforms Inc,Communications,US30303M1027,USD,38.37009407323478
RY US Equity,Royal Bank of Canada,Financial,CA7800871021,USD,15.422070536854768
SMH US Equity,VanEck Semiconductor ETF,Funds,US92189F6768,USD,33.01010377801362
CS FP Equity,AXA SA,Financial,FR0000120628,EUR,19.869771285683584
EWU US Equity,iShares MSCI United Kingdom ET,Funds,US46435G3341,USD,13.126708069444822
6501 JT Equity,Hitachi Ltd,Industrial,JP3788600009,JPY,
UNP US Equity,Union Pacific Corp,Industrial,US9078181081,USD,18.79872488352026
GOOG US Equity,Alphabet Inc,Communications,US02079K1079,USD,27.49811879802188
DIA US Equity,SPDR Dow Jones Industrial Aver,Funds,US78467X1090,USD,12.411897914625213
NG/ LN Equity,National Grid PLC,Utilities,GB00BDR05C01,GBp,18.38690237237683
GIS US Equity,General Mills Inc,"Consumer, Non-cyclical",US3703341046,USD,17.69386377921113
7203 JP Equity,Toyota Motor Corp,"Consumer, Cyclical",JP3633400001,JPY,30.15227144416845
CIVI US Equity,Civitas Resources Inc,Energy,US17888H1032,USD,30.484759885696732
RIO US Equity,Rio Tinto PLC,Basic Materials,US7672041008,USD,22.817686828788993
BNP FP Equity,BNP Paribas SA,Financial,FR0000131104,EUR,22.7941565029139
BNS US Equity,Bank of Nova Scotia/The,Financial,CA0641491075,USD,17.49460853235898
RKT US Equity,Rocket Cos Inc,Financial,US77311W1018,USD,51.08510705007991
AXP US Equity,American Express Co,Financial,US0258161092,USD,24.753976212955937
USB US Equity,US Bancorp,Financial,US9029733048,USD,25.42916689643766
VMC US Equity,Vulcan Materials Co,Industrial,US9291601097,USD,25.16220342196623
VO US Equity,Vanguard Mid-Cap ETF,Funds,US9229086296,USD,14.809145371637165
AIR FP Equity,Airbus SE,Industrial,NL0000235190,EUR,24.04787558590498
RELX US Equity,RELX PLC,"Consumer, Non-cyclical",US7595301083,USD,37.80853614101201
PRU LN Equity,Prudential PLC,Financial,GB0007099541,GBp,30.12576757103478
WMT US Equity,Walmart Inc,"Consumer, Cyclical",US9311421039,USD,18.40356448587403
MCD US Equity,McDonald's Corp,"Consumer, Cyclical",US5801351017,USD,19.659008420834954
9022 JT Equity,Central Japan Railway Co,Industrial,JP3566800003,JPY,18.44149313744755
MNST US Equity,Monster Beverage Corp,"Consumer, Non-cyclical",US61174X1090,USD,23.869833624140032
AZN LN Equity,AstraZeneca PLC,"Consumer, Non-cyclical",GB0009895292,GBp,20.873010247869033
PM US Equity,Philip Morris International In,"Consumer, Non-cyclical",US7181721090,USD,17.624457212930746
STT US Equity,State Street Corp,Financial,US8574771031,USD,22.105558582716288
NOC US Equity,Northrop Grumman Corp,Industrial,US6668071029,USD,20.53218318902364
MCO US Equity,Moody's Corp,"Consumer, Non-cyclical",US6153691059,USD,20.755073706239905
DOW US Equity,Dow Inc,Basic Materials,US2605571031,USD,20.35433031117366
CL US Equity,Colgate-Palmolive Co,"Consumer, Non-cyclical",US1941621039,USD,15.555964829090119
KO US Equity,Coca-Cola Co/The,"Consumer, Non-cyclical",US1912161007,USD,14.193551664599646
MSFT US Equity,Microsoft Corp,Technology,US5949181045,USD,23.174485963400624
CVX US Equity,Chevron Corp,Energy,US1667641005,USD,19.17601599813084
V US Equity,Visa Inc,Financial,US92826C8394,USD,18.95911979789752
AAPL US Equity,Apple Inc,Technology,US0378331005,USD,23.549548804173153
MRK US Equity,Merck & Co Inc,"Consumer, Non-cyclical",US58933Y1055,USD,20.088081135956624
HD US Equity,Home Depot Inc/The,"Consumer, Cyclical",US4370761029,USD,22.547108207673862
LRCX US Equity,Lam Research Corp,Technology,US5128071082,USD,39.04504345955881
ABBV US Equity,AbbVie Inc,"Consumer, Non-cyclical",US00287Y1091,USD,19.92349048656258
7182 JT Equity,Japan Post Bank Co Ltd,Financial,JP3946750001,JPY,
VUG US Equity,Vanguard Growth ETF,Funds,US9229087369,USD,18.610254559880765
